Date/Time,Word Count,en,zh
2024.08.30-11.26.17,23331,0,23331
2024.08.30-11.47.06,23331,23331,23331
2024.10.11-10.42.15,13773,13145,13773
2024.10.11-11.03.57,14067,13070,14067
2024.10.11-11.06.10,14066,13069,14066
2024.10.11-11.08.09,14061,13064,14061
2024.10.11-11.28.01,14038,13042,14038
2024.10.11-18.51.30,14038,13037,14038
2024.10.29-16.25.36,14453,12803,14453
2024.11.08-12.46.18,14592,12628,14592
2024.11.08-13.02.05,14593,12626,14593
2024.11.08-18.20.16,14574,12550,14574
2024.11.13-18.19.58,14634,12436,14634
2024.11.13-18.30.56,14628,12436,14628
